Testimonials	Class	Abbreviated Name
NYIM was a pleasure to work with. They did an amazing job at designing our website. All we had to do was give them the color scheme and the basic ideas of the site and Pattie took it from there. I was amazed by not only how the site looked but by how professional and courteous they were. Pattie not only got the site done on time but they were always updating me, available for questions, and returned the answers in a timely fashion. Once the website was done, they hooked it up so I can easily update everything on my own. NYIM defiantly knows what they are doing and how to work with an individual or company. Sincerely, Steve of Waken	Quark Private Training 	R.P.
The class was great!  The instructor (Joe) took his time and explained things very carefully.  It definitely helps to know what you want, but this class can at least show you what is possible, as well as how to be efficient and creative at the same time.  A+	InDesign Fundamentals Group Class 	I.P.
She was very enthusiastic and patient with all students, very good.	Flash Fundamentals Group Class	W.S.
I have never learned so much in a short amount of time. They taught w/ the highest professionalism ever. I will sign up for any extra course through NYIM for now on!	Photoshop Essentials Group Class 	J.P.
joy was great. She explained concepts and everything very well and she was extremely helpful in answering individual questions and individual goals for the class.	Excel for Business Group Class	S.W.
I really enjoyed this class.  Thanks so much.  I would agree with you that two classes would be even better because there is so much material and going more in depth is a solid idea.  There are just so many areas.....  Thanks again, and I will definitely recommend this class to anyone I know.	Dreamweaver Essentials Group Class	R.S.
I was very pleased with the seminar. The classes were small and the instructor took the time to explain and make sure each person understood while keeping the pace quick!	Excel for the Financial Industry Group Class	M.W.
This experience was a great one. I learned everything I was hoping to and then some.	InDesign Fundamentals Group Class	S.C.
I think the Excel class was a really good overview .Our instructor Mark was very knowledgeable and helpful. I would definitely take another class at NYIM.	Photoshop and Illustrator for the Fashion Industry Group Class	S.M.
Very effective in leading the class at a good pace. Explained course material clearly and was always available to answer questions.	Excel for Business Group Class	S.F.
...the instructor made the class non- intimidating and informative due to his casual approach, teaching from the basics forward and his helpfulness with every little question.  I did like that there were only six people in a class.	Excel for Business Group Class	N.B.
The instructor that we had was very energetic and kept the pace of the class interesting.	PowerPoint for Business Group Class	B.F.
Instructor was great. He was gregarious, highly intelligent, concise, patient and informative.	Quickbooks Fundamentals Group Class	S.F.
The course was very helpful and it was definitely worth the time and money. Joe was an excellent teacher.	Excel for Business Group Class	Q.W.
Joe was a great- excellent teacher. I love the small classes!	Excel for Business Group Class	M.V.
I got a lot out of the course - definitely worth the cost.	Excel for Business Group Class	W.B.
Thanks again, Joe, for the informative course.  I did come away with more than anticipated.  It definitely was worth it.	SPSS Group Class 	M.K.
Thought the class was great. I'd definitely recommend it and I think the idea of making it a little longer and going into 2 nights is a good one.	PowerPoint for Business Group Class	Michelle
I had a good experience with your instructor Phoenix. I'm confident that I can operate and utilize InDesign with the core understanding that is needed beyond my job requirements.	Excel for the Financial Industry Group Class	Jill
Phoenix was so good to me, that I am really interested in taking an Illustrator class too!	InDesign Fundamentals Group Class 	A.H.
I thought the class was very informative. Some people picked things up quicker than others, so we spend more time on some points than others.... The instructor was very knowledgeable and professional. The small classroom atmosphere was also good for sharing ideas and learning as a team.	InDesign Fundamentals Group Class	T.H.
I want you to know that we learned a great deal in our training session and send out a sincere THANK YOU for your patience with us through all of our questions and system interruptions. Any time you need a referral, don't hesitate to ask me.	PowerPoint Private Training	Amy
Dear Joe: Thank you for sharing your knowledge! Yours was one of the best classes I have ever had.	Excel for Business Group Class 	Claudie
I enjoyed the training very much. It was well planed and well paced. Since it was kept small, the instructor was able to focus the topics to each of our experience levels and our intended goals.	InDesign Fundamentals Group Class	K.P.
I thought the class was wonderful and extremely informative. I would definitely train at NYIM again. Our professor was great! Overall, excellent experience....great class...great professor...very successful! Thanks so much. I really did enjoy the day!	InDesign Fundamentals Group Class	D.L.
I loved the class and the instructors.  I like the fact that the class was a small group with one on one attention.  I never knew how great it was to work with Excel.  I wouldn't hesitate to recommend your classes to my co- workers and friends.	Excel for Business Group Class	R.M.
Joe, I just wanted to thank you for the class. I got a lot out of it largely due to your structured and well thought- out teaching process. It is especially helpful to have both the Excel spread sheets for class and the tailored Word document as well.	Advanced Excel for Business Group Class	A.C.
Very engaging...seemed to really care if you learned material	Excel for Business Group Class	JM.F.
I took today the Excel for business class with Joy at the NYIM Training Room. It was great! Joy did a remarkable teaching job through the whole day.	Website Maintenance Consultation 	S.T.
Joy was absolutely wonderful, articulate, patient, and funny!	Excel for Business Group Class 	C.A.
3rd time I am taking classes with Joy. I would do it again anytime! Since you offer the possibility to take the class again for free, this is just perfect.	Excel for Business Group Class	I.M
Eric is great, he is patient, considerate, and I really would like having him as my teacher in another class.	Excel for Business Group Class and various others 	B.O.
Liz was right on point with everything. She's great! Liz is AWESOME!!	Excel for Business Group Class	K.R.
Quickbooks class was quite informative. I didn't have any knowledge of it and the instructor made it easy to understand.	QuickBooks Fundamentals Group Class	M.A.
Eric is excellent. Keep him. He knows his stuff.	QuickBooks Fundamentals Group Class	S.S.
Joe is definitely a great mentor! Everything was pretty useful information and a great way of grasping the abilities of this program. Having done the beginners class as well, I think they are both great!	Excel for Business Group Class	P.W.
Jones training w/ Mikelle. She was very patient and very helpful... everything was VERY necessary. I believe that the instructor is very knowlegeable and helpful. It is very nice how willing she is to help everyone in the class, even on her own time.	Advanced Excel for Business Group Class	V.K.
Very knowledgeable, able to handle questions, offered help, very resourceful, master of program's applications.	Photoshop/Illustrator for the Fashion Industry Private Training 	Jones Apparel associate
Tailored the class to our needs, very attentive. I like the way he made sure we went over everything ourselves and quizzed us, so that we were certain that we had a grasp of the section we were working on before we moved forward to the next section... I think that this was a really good class and I was very pleased with what I learned - - I think I'll feel very comfortable when I go back to my computer to work on my site.	Dreamweaver Essentials Group Class	B.J.
Nothing really. Joe was very helpful and the learn by doing approach is very practical. Now we can get started on our own site. We like that we can come back for additional classes later once we have more ideas for our own site. Nice to have the training CD for the future also.	Dreamweaver Essentials Group Class	H.O.
Kathi... good energy and knowledge of the subject matter. All sections were useful to me as I am a first time user and wanted to gain a general understanding of the program. I did particularly enjoy the project portions as I could see how the tools and methods were used in creating the documents. I felt all of the sections were useful.	Dreamweaver Essentials Group Class	J.J.
Eric kept our attention, very friendly and upbeat, not boring. I learned far more than expected.	InDesign Fundamentals Group Class	J.M.
Kathi was very encouraging, and helpful. Very attentive to the needs of each student. I really liked her as an instructor.	Excel for Business Group Class	S.K.
Joe is really smart and VERY helpful! I loved all of it - and I loved the workbook/worksheet we get to go home with...Really great! I had a great time...and I learned a lot of useful information.	InDesign Fundamentals Group Class	R.M.
Eric is great, loved all of it; I needed a good solid PowerPoint base and received it in the course.	Excel for Business Group Class	F.P.
Eric is great, he is patient, considerate, and I really would like having him as my teacher in another class.	PowerPoint for Business Group Class	I.M.
Joy was very enjoyable and easy to learn from, all of it was useful!	Excel for Business Group Class	M.I.
Joy was very helpful in providing individual advice!	Excel for Business Group Class	K.B.
Joy was wonderful- great teacher. Everything was extremely useful and practical; she really tailored the class to us.	Excel for Business Class	B.R.
Mikelle was very efficient and helpful because she works in the fashion industry as well. That's why she has knowledge in things we have questions on.	Excel for Business Class	C.C.
The whole class was practical. I liked the fact that we had a small group. We received a lot of one-on-one attention from Joe and could really focus on the key items that we wanted to learn from the class.	Photoshop/Illustrator for the Fashion Industry Private Training	Jones Apparel associate
Hello Mary!	Flash Fundamentals Group Class	G.H.
Stay in touch.	Photoshop/Illustrator Private Training	S.A.
Thanks again.	VBA Private Training 	Katherine
It was just perfect, I can't thank you enough!! I learned faster than expected and handed in the documents ahead of schedule. IT WAS A GREAT EXPERIENCE, I would recommend it to everyone!!	Excel Private Training 	M.L.
Dear Pattie,   Just wanted to let you know that you made another happy customer.  My class with Joy was everything I hoped it would be, and more.  She is a superb teacher, not merely with respect to her technical expertise, but very pleasant and patient! I will sort out my schedule soon, and sign up for Excel.  Thank you for all your help. ,Intro to PC	 Excel Private Training	C.M.
Joy was great. Very clear and helpful. I have no complaints.	Word Private Training 	B.G.
Joy was a very knowledgeable instructor and patient as well!!...Great class!	Excel for Business Group Class	J.L.
Joe is fantastic. His instruction is clear and he's patient and completely open to any and all stupid questions.	Excel for Business Group Class 	B.L.
Eric is a great instructor!	Photoshop Essentials Group Class	R.K.
Eric was extremely personable, and his friendly style worked very well for the small classes you offer.	PowerPoint for Business Group Class 	B.L.
Eric was very patient and willing go over things as much as needed. i learned a great deal during the time i was here. great as a refresher or an intro!	PowerPoint for Business Group Class	B.O.
Eric was great. He did a great job teaching the information, and had a good sense of humor as well. He kept it interesting.	PowerPoint for Business Group Class 	D.A.
Eric Ellison is a fabulous instructor and I look forward to attending more classes.	PowerPoint for Business Group Class 	B.S.
Joy was great and very willing to answer questions and give great answers. She was awesome!	PowerPoint for Business Group Class	S.M.
Extremely enthusiastic and seems to really enjoy teaching, Joy's great.	Excel for Business Group Class 	K.B.
He did a terrific job of teaching the material, and has a good sense of humor to keep it fun.	Excel for Business Group Class 	R.S.
Joy was very good. She communicated the information well, and kept it fun at the same time.	Excel for Business Group Class	B.S.
Joy was patient and out- going and an excellent teacher!	Excel for Business Group Class	Y.Z.
Kathi was fantastic. She knows her stuff and teaches it clearly.	Excel for Business Group Class	P.C.
The instructor presented material in a lively and interesting manner, to engage the students.	InDesign Fundamentals Group Class	J.H.
Mikelle Drew is very clear and answered all the questions!	Excel for Business Group Class	G.G.
Mikelle was very patient, a great teacher. I am quite slow and she was always trying to keep me up with the class.	customized Photoshop/Illustrator for the Fashion Industry Private Training Group Class 	T. of Jones Apparel
Joy - Easy to understand, very helpful, very nice. Lots of knowledge. The best!!!!	Photoshop/Illustrator for the Fashion Industry Group Class	J.H.
Joy was very knowledgeable and patient with questions.	Excel for Business Group Class	C.T.
Joy was a most excellent instructor. Sensitive to questions and most willing to help with any problems. I would refer this class to all of my peers if they were to have this same instructor.	Excel for Business Group Class	L.R.
I liked the instructor. I thought Joy was friendly and knowledgeable, and also very helpful with questions we had. She really made herself available if anyone needed extra help throughout the day.	Excel for Business Group Class	E.K.
Joy was very knowledgeable and helpful. She worked fast but didn't seem to get frustrated with repeating instructions.	Excel for Business Group Class	L.O.
Joe - you were awesome. I loved the fact that you made it so much fun and so laid back and yet so informative. I especially appreciated your patience and your ability to tell when we needed a break!	Excel for Business Group Class	D.J.
Joe Tandle was absolutely a pleasure. He was indeed knowledgeable and very helpful and informative. Patience is probably his middle name.	Dreamweaver Essentials Group Class 	J.B.
Excellent communication skills, good at explaining complex issues, great instructor.	Dreamweaver Essentials Group Class	I.V.
Joe is a great instructor, even helped with current project.	Dreamweaver Essentials Group Class	M.H.
I really appreciate her patience with helping me on what to do and her friendly upbeat character kept things interesting and helped me to pay attention more. She was very helpful in providing what is used in the industry with her experience.	Dreamweaver Essentials Group Class	C.D.
I think Mikelle was great.   A class of students with relatively the same experience on  Illustrator though, would use Mikelle's talents best; more advanced people won't feel hindered and those with less experience won't feel the class  moves too fast.	Dreamweaver Essentials Group Class	Lexus
Glenn H. is as exclusive as ever.  He is thoroughly  honest, impartial, sincere and a hard- working instructor.  If I came across any difficulty at all, it was my own weakness; his instructions were clear, precise and perfect, accommodative to all.  He did not care for his time; he cared more for his students' comprehension, and his satisfaction toward them. I appreciate his attitude, his perfection of the subject and his friendliness intermixed with his style of instructions. Please convey my best wishes to him.	Illustrator for the Fashion Industry Private Training 	Troy of Jones Apparel Group
Joe was really informed, helpful, and made learning not seem so daunting. I would definitely suggest this class/instructor.	Advanced Excel for Business Group Class	M.D.
The teacher was excellent, very informative, very helpful.	Photoshop Essentials Group Class	K.S.
He was great, talked slowly, positive attitude!	Photoshop Essentials Group Class	D.S.
Eric is a very good teacher and a genuinely nice guy.	Photoshop Essentials Group Class	A.R.
Great guy...Eric..very charming, entertaining, knowledgeable, and makes sure you don't fall behind.	PowerPoint for Business Group Class	J.S.
Eric is awesome- thank you for choosing eric as our instructor!	PowerPoint for Business Group Class	A.P.
I think she did an excellent job. You can tell she's had a lot of experience using the program, and she was able to communicate the material in a timely and organized fashion which made it easier to follow.	PowerPoint for Business Group Class	J.F.
Kathi Georges did a great job. She was very helpful and answered all of our questions and took time to show steps if you were having trouble.	Quark Private Training	K.G.
She's very friendly, dynamic, and adept at creating a hands on lesson. Thanks to her the class was, to be honest, much more fun than I thought that it would be.	Quark Private Training	J.R.
Kathi was able to pace the instructions so that I could really get a handle on the essence of what Quark is all about. She also was very practical in her approach so that I could adapt it to my needs at our agency.	Quark Private Training	L.Z.
Mikelle was very clear and concise about everything she taught. She was very helpful, friendly, and of course knowledgeable about the programs.	Quark Private Training	L.S.
Joy was great, the pace was good, even the part on charts that I really didn't need to know that well she made fun.	Photoshop/Illustrator for the Fashion Industry Group Class	G.J.
I thought the class with Joy was very helpful. I learned a lot!	Excel for Business Group Class	D.H.
I thought Joy was a very good instructor. Informative and not boring.	Excel for Business Group Class 	K.P.
Joy was very well spoken and approachable. She made it easy to ask questions and made sure everyone understood what was being done.	Excel for Business Group Class	Y.Z.
I thought the instructor was very articulate and knew everything I wanted to know. I didn't expect (I guess because I wasn't familiar with the reputation of the institution) the class to be so well designed and executed... Two thumbs up!	Dreamweaver Essentials Group Clas	J.M.
i hate computer classes and this one was so much fun! the time just flew by. the instructor really knew what she was doing and was able to explain things very well.	Excel for Business Group Class	J.D.
Instructor was very knowledgeable on subject and considerate of each person's pace.	Photoshop and Illustrator for the Fashion Industry Group Class	K.Z.
Excellent instruction. Liked the location and having a small class. The class members tracked well, so it didn't go too slow. He (instructor) is thoroughly knowledgeable and very practical.	Excel for Business Group Class 	K.N.
great! a great pace, which he was able to alter according to our needs. good sense of humor, worked with individual needs, answered all questions.	Excel for Business Group Class	S.Y.
Explains clearly and is patient, thorough. Did an excellent job of dealing with the students' varying speeds of learning	PowerPoint for Business Group Class	M.Z.
she was great - - clear, concise, patient, humourous,energetic and adapt at helping me to 'get it'.	Flash Essentials Group Class	H.T.
Joe was a very detail, fun and easy going person. His method is perfect for new begginers. Joe gives you a feeling of confidence. AWESOME CLASS	Excel for Business Group Class	J.H.
Glenn is great! And so helpful and nice. He really wants to help you solve the problems you are having with Excel and will definitely go far and beyond to help you. Really, one of the best instructors I've ever had.	Dreamweaver Essentials Group Class	J.E.
Very good - varied her speed to accomadate different standards of the class and very happy to get round the room all the time to look at individual screens. VERY knowledgeable	Advanced Excel for Business Group Class	J.O.
Instructor knows every question we asked him, & if he wasnt 100% sure about it, he found the answer for us. Very satisfied with the class.	PowerPoint for Business Group Class	M.H.
